feature,importance
O1_T7_delta_connectivity,0.0005373363812422592
F3_F8_theta_connectivity,0.0005334732735560609
Fp1_O1_theta_connectivity,0.0005312728887201335
P3_P7_alpha_connectivity,0.0005283003430059187
frontal_parietal_beta_connectivity,0.0005277374038953857
T7_Cz_delta_connectivity,0.000525349227979729
C4_O1_beta_connectivity,0.0005245515426145112
central_parietal_delta_connectivity,0.0005230832397331295
F8_Pz_beta_connectivity,0.0005230332030790252
C3_Fz_theta_connectivity,0.0005134724861410495
Fp2_T7_alpha_connectivity,0.0005121568279855077
O2_T8_theta_connectivity,0.0005121333218590401
F3_Cz_theta_connectivity,0.0005120029718705238
F4_T8_beta_connectivity,0.0005118942291974899
O2_Fz_beta_connectivity,0.0005117644439761298
C4_F8_delta_connectivity,0.0005049088376695251
frontal_central_delta_connectivity,0.00050273244390589
F4_F7_alpha_connectivity,0.0004988664516919915
P3_F8_theta_connectivity,0.000495467242548617
P4_P7_alpha_connectivity,0.0004954225987427654
Fp1_F7_delta_connectivity,0.0004946062847362633
P7_P8_beta_connectivity,0.0004942176482577051
Fp1_P8_beta_connectivity,0.0004921573752243331
Fp1_C4_beta_connectivity,0.0004912592827768313
parietal_occipital_theta_connectivity,0.00048802629636463397
P4_O2_alpha_connectivity,0.0004861900118163519
O1_O2_beta_connectivity,0.00048328816139430847
F8_T8_theta_connectivity,0.00048279391774022596
F4_P7_alpha_connectivity,0.0004826551530490589
F4_O2_beta_connectivity,0.0004825269925597981
Fp2_P3_alpha_connectivity,0.00048146514048995516
P4_Pz_theta_connectivity,0.000476684556363127
P4_F7_theta_connectivity,0.000475690135392281
Fp2_F7_alpha_connectivity,0.00047541178421659744
T8_Fz_theta_connectivity,0.00047284368518032656
O1_O2_delta_connectivity,0.0004716887520153879
O2_F8_beta_connectivity,0.0004670087781864048
F4_F8_theta_connectivity,0.00046634840654514987
O2_F7_beta_connectivity,0.00046252448519915995
C3_F8_beta_connectivity,0.00046225813365080977
temporal_parietal_alpha_connectivity,0.000459440587641995
O1_O2_alpha_connectivity,0.0004592197423195114
F3_T8_theta_connectivity,0.000455974238060474
Fp2_T8_delta_connectivity,0.0004559725348267546
C4_P7_alpha_connectivity,0.000453209495902268
Fp1_F7_theta_connectivity,0.0004517189168484555
T7_Fz_theta_connectivity,0.0004506618463726198
T7_Pz_beta_connectivity,0.0004500689188441143
P8_Cz_beta_connectivity,0.00044125644673934377
P3_O2_theta_connectivity,0.0004401232370817541
C4_P8_delta_connectivity,0.0004398264283472083
Fp2_F3_alpha_connectivity,0.0004396049988240008
O2_P7_beta_connectivity,0.00043836463519937135
O1_F8_alpha_connectivity,0.00043749340058116433
Fp2_Cz_alpha_connectivity,0.0004374136404758238
F8_T7_delta_connectivity,0.0004371437774081983
Fp1_C3_theta_connectivity,0.0004350224570650929
P4_F8_alpha_connectivity,0.00043366277629296743
F7_T7_theta_connectivity,0.00043207695366605134
Fp1_T7_theta_connectivity,0.0004307557378147293
P7_Cz_alpha_connectivity,0.00043064097872510447
O1_P7_delta_connectivity,0.00042993727974569707
Fp1_C4_delta_connectivity,0.0004227645897470423
C4_Pz_beta_connectivity,0.00042232352132663985
P3_Cz_alpha_connectivity,0.00041635798518034427
F3_T7_alpha_connectivity,0.00041415650222450346
F4_F8_delta_connectivity,0.00041356716874821955
P3_F8_delta_connectivity,0.00041316607572920754
C4_Pz_delta_connectivity,0.0004091844893261512
F4_P8_beta_connectivity,0.00040848337206978705
O1_Pz_delta_connectivity,0.0004020432355994136
F3_P7_alpha_connectivity,0.00039933044212722387
F8_P7_alpha_connectivity,0.00039337966335201
F4_T7_beta_connectivity,0.0003920738464231539
P4_Fz_theta_connectivity,0.0003917563142720683
C3_P8_theta_connectivity,0.0003903771151847057
temporal_occipital_delta_connectivity,0.00039007006068246584
frontal_temporal_alpha_connectivity,0.0003900379820939517
F4_F7_delta_connectivity,0.0003894156400173959
C3_Pz_delta_connectivity,0.000387159459505402
T7_Cz_theta_connectivity,0.00038643746146035306
F4_Pz_theta_connectivity,0.0003842428385630978
F4_O2_delta_connectivity,0.0003816245942934754
Fp1_F4_alpha_connectivity,0.0003807728918072721
Fp1_Fp2_theta_connectivity,0.00037988187170191463
T7_Fz_alpha_connectivity,0.0003792755353143406
Fp1_C3_delta_connectivity,0.00037880684308998544
F4_C4_delta_connectivity,0.00037764105131506863
F3_T8_delta_connectivity,0.0003767035202486445
F4_O1_theta_connectivity,0.000374295309320144
F7_Fz_theta_connectivity,0.0003676188372221482
C4_P4_alpha_connectivity,0.00036665603980059054
P3_O1_delta_connectivity,0.00036408991235647043
F8_P7_delta_connectivity,0.0003637272285058074
F7_P7_theta_connectivity,0.00036028805542719143
O2_F8_alpha_connectivity,0.0003592366200333518
C3_F8_alpha_connectivity,0.00035906522059850614
P3_Fz_beta_connectivity,0.0003581656516150528
C3_F7_delta_connectivity,0.0003500706429974104
P4_T8_alpha_connectivity,0.00034958319779250513
P7_Pz_beta_connectivity,0.00034386397166670394
Fp2_T8_alpha_connectivity,0.00034354982178957943
O1_T8_alpha_connectivity,0.00034327821008578533
Fp1_P3_beta_connectivity,0.00034300880429336455
F8_Cz_beta_connectivity,0.00034043028760098607
C4_T8_alpha_connectivity,0.00033616843534461666
F3_F7_theta_connectivity,0.0003334445802944982
F8_P7_theta_connectivity,0.0003316867200610881
Fp2_F8_alpha_connectivity,0.0003313234474357254
T8_Cz_theta_connectivity,0.00033115202726745715
Cz_Pz_delta_connectivity,0.0003309020800154223
Fp1_O2_beta_connectivity,0.00033039320435071024
Fp2_C3_theta_connectivity,0.0003302052071114091
C3_T7_beta_connectivity,0.00032815741580169384
T7_Fz_beta_connectivity,0.0003238355416692155
Fp2_F7_beta_connectivity,0.00032362283512626244
C3_Pz_theta_connectivity,0.0003236112838303045
O1_T8_beta_connectivity,0.0003225306076087423
Fp1_F8_delta_connectivity,0.00032224745679632045
T7_Pz_delta_connectivity,0.00032166853583624793
C3_C4_delta_connectivity,0.00032051110343993115
Fp1_P7_delta_connectivity,0.0003180722293255391
Fp2_C4_delta_connectivity,0.00031775846494097137
F7_Pz_delta_connectivity,0.00031568171546010756
O2_F8_theta_connectivity,0.0003141173698536828
Fp2_F8_theta_connectivity,0.0003132542977988783
O1_T7_beta_connectivity,0.00030875798305884483
C3_F8_delta_connectivity,0.0003063689786266416
